E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,1,5.0,1.0,99,true,0.523,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.499012,AllD,100,3413588362,3410276037,988999357,1092160006,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,80,true,0.5018,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.503472,AllC,100,3406062389,2205022310,3277963616,1507691381,20,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,99,true,0.4898,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.498684,AllD,100,2394741560,155481102,1675257903,1125662500,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,98,true,0.5008,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.499648,AllD,100,3501276496,1916308487,2884299057,212405882,2,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,98,true,0.948,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.49980399999999997,AllC,100,2718039288,4029003726,839009843,4071681473,2,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.9464,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.501956,AllC,100,399641176,557968366,3773737824,3917458191,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,97,true,0.949,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.49939200000000006,AllC,100,3838909624,564176415,3404334542,3104513964,3,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,96,true,0.9519999999999997,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5012000000000001,AllC,100,1574056052,1523565866,659764183,481937497,4,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,96,true,0.9511999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.502872,AllC,100,3980614795,437318025,8057705,1281548053,4,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,true,0.48800000000000004,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.49507199999999996,AllD,100,1165085912,2793248193,1782232896,3680929680,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,75,true,0.48719999999999997,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.504412,AllC,100,770372699,2091145227,3971252322,580848821,25,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,true,0.4864,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.499012,AllD,100,2925611719,757611393,3082452714,244896182,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,98,true,0.506,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.49761199999999994,AllD,100,2965422559,837590782,1359513328,3067387169,2,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,80,true,0.5046,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.504548,AllC,100,2477149355,278142066,2804006621,1852461561,20,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,96,true,0.9447999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.501644,AllC,100,1782424626,2179447094,1664771370,1727639570,4,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,71,true,0.49920000000000003,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.5008,AllC,100,1569131151,1818862117,2350150913,250941556,29,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.623,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.49979999999999997,AllD,100,3406062389,2205022310,3277963616,1507691381,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,true,0.5008,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.502684,AllD,100,2975585007,2510377535,2000219535,115323781,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.6504000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.500084,AllD,100,3130845861,1564334926,2150181349,366305227,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.626,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.500084,AllD,100,3413588362,3410276037,988999357,1092160006,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,98,true,0.5092000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.49871199999999993,AllD,100,406340876,3346694229,2043245436,1876482308,2,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.6196,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.501628,AllD,100,1050047780,3965369818,1198075866,1516766800,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7046000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.5008199999999999,AllD,100,593229261,3623961819,4069151275,3494409329,0,0.02,0.02,0.0,1.0
